batch_idx,start_idx,end_idx,batch_time_sec,ram_usage_mb
0,0,16,3.034,779.0
1,16,32,1.548,1166.0
2,32,48,1.352,1176.3
3,48,64,1.204,1175.8
4,64,80,1.069,1176.1
5,80,96,1.191,1176.6
6,96,112,1.0,1176.4
7,112,128,1.415,1177.0
8,128,144,1.266,1177.2
9,144,160,1.332,1185.7
10,160,176,1.308,1186.2
11,176,192,1.345,1186.5
12,192,208,0.82,1187.8
13,208,224,1.311,1188.2
14,224,240,1.349,1188.4
15,240,256,1.416,1192.7
16,256,272,1.87,1193.0
17,272,288,0.997,1193.1
18,288,304,1.245,1193.0
19,304,320,1.673,1193.4
20,320,336,1.421,1193.5
21,336,352,1.429,1193.8
22,352,368,0.925,1194.1
23,368,384,1.634,1194.5
24,384,400,1.307,1194.8
25,400,416,1.58,1195.1
26,416,432,1.577,1195.3
27,432,448,1.47,1195.5
28,448,464,1.397,1195.6
29,464,480,1.372,1195.8
30,480,496,1.999,1195.9
31,496,512,1.201,1197.7
32,512,528,1.587,1198.9
33,528,544,1.411,1199.1
34,544,560,0.781,1198.3
35,560,576,1.365,1198.6
36,576,592,1.804,1198.6
37,592,608,1.478,1198.7
38,608,624,1.254,1198.8
39,624,640,1.555,1199.0
40,640,656,1.644,1199.1
41,656,672,0.936,1201.0
42,672,688,0.835,1201.0
43,688,704,1.551,1201.2
44,704,720,1.574,1201.3
45,720,736,1.567,1201.4
46,736,752,1.703,1201.6
47,752,768,0.707,1202.3
48,768,784,1.268,1202.7
49,784,800,0.717,1203.0
50,800,816,1.157,1203.3
51,816,832,1.176,1203.7
52,832,848,0.896,1203.9
53,848,864,0.874,1204.5
54,864,880,1.386,1204.2
55,880,896,1.14,1204.4
56,896,912,0.747,1204.6
57,912,928,1.14,1204.5
58,928,944,0.982,1204.8
59,944,960,1.165,1205.1
60,960,976,0.812,1204.9
61,976,992,1.388,1205.7
62,992,1008,0.984,1207.0
63,1008,1024,0.585,1207.3
64,1024,1040,1.223,1207.5
65,1040,1056,0.947,1206.6
66,1056,1072,1.22,1206.9
67,1072,1088,1.244,1207.2
68,1088,1104,0.887,1207.0
69,1104,1120,0.81,1207.0
70,1120,1136,1.413,1208.6
