input_text,labels, source
I want to start meditating every morning.,goal_create, generated
I've been consistent this week but I feel tired.,user_status;user_energy;reflection, generated
This goal isn’t working for me anymore.,goal_modify;reflection;struggle, generated
I walked every day this week!,user_status;celebration;positive, generated
I’m failing and don’t know what to change.,goal_modify;struggle;negative, generated
Can you help me revise this goal?,goal_modify;instruction_request, generated
I don’t like the way this goal is phrased.,goal_modify;feedback_ai, generated
Please stop sending me reminders.,system_command, generated
I didn’t do it today… again.,user_status;reflection;struggle;negative, generated
I’m really proud of how I handled this week.,reflection;celebration;positive, generated
I finally hit my step goal today!,celebration,generated
Woohoo! I meditated every day this week.,celebration,generated
Feeling proud—I stuck with my reading habit!,celebration,generated
I just finished my 30-day challenge!,celebration,generated
Best day ever—my habit streak is alive!,celebration,generated
I wish the app could give more personalized advice.,feedback_ai,generated
"The reminders are helpful, but a bit too frequent.",feedback_ai,generated
Great suggestions lately—thank you!,feedback_ai,generated
Noticed the AI gives better tips when I'm more specific.,feedback_ai,generated
Can you adjust how often you check in with me?,feedback_ai,generated
I want to start exercising three times a week.,goal_create,generated
Set a new goal for waking up earlier.,goal_create,generated
Let’s track my water intake every day.,goal_create,generated
Add a goal to journal every night.,goal_create,generated
I need to create a budget this month.,goal_create,generated
Change my goal to 4 workouts a week instead of 3.,goal_modify,generated
Let’s switch my evening routine to mornings.,goal_modify,generated
I want to shift my focus to cardio now.,goal_modify,generated
Update my study time to 6 PM.,goal_modify,generated
Modify my screen time goal to under 3 hours.,goal_modify,generated
How do I update a goal?,instruction_request,generated
Can you help me reflect on this week?,instruction_request,generated
What’s the best way to build a habit?,instruction_request,generated
How do I reset progress on a goal?,instruction_request,generated
Give me some tips for staying motivated.,instruction_request,generated
I didn’t meet any of my goals today.,negative,generated
Feeling really down about my progress.,negative,generated
This isn't working for me.,negative,generated
I feel like giving up.,negative,generated
I failed again.,negative,generated
Feeling great about how things are going!,positive,generated
I'm doing awesome lately.,positive,generated
Loving this progress.,positive,generated
I’m actually proud of myself today.,positive,generated
I’m killing it!,positive,generated
I noticed I’m more productive when I plan ahead.,reflection,generated
It’s been tough staying consistent this week.,reflection,generated
I learned that breaks really help me refocus.,reflection,generated
I tend to avoid tasks that feel too big.,reflection,generated
I’m seeing patterns in my procrastination.,reflection,generated
I keep missing my meditation sessions.,struggle,generated
I can’t seem to get up early.,struggle,generated
Still struggling to focus at night.,struggle,generated
It's hard to stay motivated after work.,struggle,generated
I get distracted way too easily.,struggle,generated
Delete my goal.,system_command,generated
Reset everything.,system_command,generated
Show me my progress.,system_command,generated
Pause notifications.,system_command,generated
Sync with my calendar.,system_command,generated
I have so much energy today!,user_energy,generated
Feeling drained right now.,user_energy,generated
I'm full of focus.,user_energy,generated
Running on low energy this morning.,user_energy,generated
Super energized after that walk.,user_energy,generated
I’m at work right now.,user_status,generated
Heading to bed soon.,user_status,generated
Out running errands.,user_status,generated
Back home for the evening.,user_status,generated
Just woke up.,user_status,generated
I finally hit my step goal today!,celebration,generated
Woohoo! I meditated every day this week.,celebration,generated
Feeling proud—I stuck with my reading habit!,celebration,generated
I just finished my 30-day challenge!,celebration,generated
Best day ever—my habit streak is alive!,celebration,generated
I wish the app could give more personalized advice.,feedback_ai,generated
"The reminders are helpful, but a bit too frequent.",feedback_ai,generated
Great suggestions lately—thank you!,feedback_ai,generated
Noticed the AI gives better tips when I'm more specific.,feedback_ai,generated
Can you adjust how often you check in with me?,feedback_ai,generated
I want to start exercising three times a week.,goal_create,generated
Set a new goal for waking up earlier.,goal_create,generated
Let’s track my water intake every day.,goal_create,generated
Add a goal to journal every night.,goal_create,generated
I need to create a budget this month.,goal_create,generated
Change my goal to 4 workouts a week instead of 3.,goal_modify,generated
Let’s switch my evening routine to mornings.,goal_modify,generated
I want to shift my focus to cardio now.,goal_modify,generated
Update my study time to 6 PM.,goal_modify,generated
Modify my screen time goal to under 3 hours.,goal_modify,generated
How do I update a goal?,instruction_request,generated
Can you help me reflect on this week?,instruction_request,generated
What’s the best way to build a habit?,instruction_request,generated
